Grid, Scenario, Case, Run#, n_cars, delay_times_mean, delay_times_std, travel_times_mean, travel_times_std, prop_delays_mean, prop_delays_std,
unknown_grid, unknown_scenario, unknown_run#, case4, 120, 0.35833333333333334, 0.6682792995613601, 20.208333333333332, 9.455065514785652, 0.016591666666666664, 0.030930700992523413,  
unknown_grid, unknown_scenario, unknown_run#, case5, 120, 0.3333333333333333, 0.6497862896539309, 19.558333333333334, 8.175976835964143, 0.016158333333333334, 0.031047811472344106,  
unknown_grid, unknown_scenario, unknown_run#, case2, 120, 0.3333333333333333, 0.6497862896539309, 19.516666666666666, 8.10964788932842, 0.016233333333333332, 0.03114822984091106,  
unknown_grid, unknown_scenario, unknown_run#, case3, 120, 0.36666666666666664, 0.6574360974438672, 22.408333333333335, 11.8170045790895, 0.015499999999999998, 0.029787021782425083,  
unknown_grid, unknown_scenario, unknown_run#, case0, 120, 0.3333333333333333, 0.6497862896539309, 19.516666666666666, 8.10964788932842, 0.016233333333333332, 0.03114822984091106,  
unknown_grid, unknown_scenario, unknown_run#, case1, 120, 0.3333333333333333, 0.6497862896539309, 19.516666666666666, 8.10964788932842, 0.016233333333333332, 0.03114822984091106,  
unknown_grid, unknown_scenario, unknown_run#, case4, 180, 1.0888888888888888, 1.4768167301060033, 22.533333333333335, 13.294694012608522, 0.04557222222222222, 0.058203572871961456,  
unknown_grid, unknown_scenario, unknown_run#, case5, 180, 1.038888888888889, 1.5824168887737973, 21.322222222222223, 11.738661458595105, 0.0458, 0.0672323830704619,  
unknown_grid, unknown_scenario, unknown_run#, case2, 180, 1.038888888888889, 1.5753796328676848, 20.105555555555554, 9.166058902411065, 0.04847222222222223, 0.07427325154496556,  
unknown_grid, unknown_scenario, unknown_run#, case3, 180, 0.8055555555555556, 1.265337997103375, 25.705555555555556, 16.791762935116008, 0.0315, 0.04662956858761044,  
unknown_grid, unknown_scenario, unknown_run#, case0, 180, 1.038888888888889, 1.5753796328676848, 20.105555555555554, 9.166058902411065, 0.04847222222222223, 0.07427325154496556,  
unknown_grid, unknown_scenario, unknown_run#, case1, 180, 1.038888888888889, 1.5753796328676848, 20.105555555555554, 9.166058902411065, 0.04847222222222223, 0.07427325154496556,  
unknown_grid, unknown_scenario, unknown_run#, case4, 240, 1.1041666666666667, 1.683740668538029, 20.095833333333335, 10.567796173858682, 0.052537499999999994, 0.07822770349275249,  
unknown_grid, unknown_scenario, unknown_run#, case5, 240, 1.0083333333333333, 1.581116869670157, 19.470833333333335, 9.375010185179653, 0.049300000000000004, 0.0781821164546812,  
unknown_grid, unknown_scenario, unknown_run#, case2, 240, 1.075, 1.560782389273619, 19.204166666666666, 8.266144766791564, 0.052566666666666664, 0.07486662956365955,  
unknown_grid, unknown_scenario, unknown_run#, case3, 240, 1.2, 1.610382977224155, 23.670833333333334, 14.832817757893775, 0.049216666666666666, 0.07002805191889573,  
unknown_grid, unknown_scenario, unknown_run#, case0, 240, 1.1416666666666666, 1.6471988006579197, 19.158333333333335, 8.304111264240676, 0.05605416666666667, 0.07955250613675781,  
unknown_grid, unknown_scenario, unknown_run#, case1, 240, 1.1416666666666666, 1.6471988006579197, 19.158333333333335, 8.304111264240676, 0.05605416666666667, 0.07955250613675781,  
unknown_grid, unknown_scenario, unknown_run#, case4, 300, 1.7066666666666668, 2.1339998958658724, 21.99, 12.00402293677693, 0.07829666666666667, 0.09506735501153321,  
unknown_grid, unknown_scenario, unknown_run#, case5, 300, 2.1666666666666665, 2.457415082742207, 21.316666666666666, 11.558102016430823, 0.10122, 0.11919154723944703,  
unknown_grid, unknown_scenario, unknown_run#, case2, 300, 2.223333333333333, 2.8833063582553202, 20.063333333333333, 8.642105581910515, 0.10989, 0.14613349342296583,  
unknown_grid, unknown_scenario, unknown_run#, case3, 300, 3.2733333333333334, 4.304101403183815, 24.473333333333333, 15.445688359179362, 0.15186666666666668, 0.23793709719634354,  
unknown_grid, unknown_scenario, unknown_run#, case0, 300, 2.14, 2.5219833464953725, 19.69333333333333, 8.45257094353875, 0.10604999999999999, 0.12377698022384184,  
unknown_grid, unknown_scenario, unknown_run#, case1, 300, 2.14, 2.5219833464953725, 19.69333333333333, 8.45257094353875, 0.10604999999999999, 0.12377698022384184,  
